UUID,Void/Retire,Name,Description
4fe1f8db-3fe5-4fd7-89e2-c2d69c56f182,,SES Lab,"Codes used by the PIH Peru (SES) LIMS system, 6Labs"
2b238371-422a-4965-9d52-5edbeb8face6,,SES_IMAGENES,"Codes used by the PIH Peru (SES) LIMS system, Images/Xray"
